Date,AAPL,AMZN,BAC,GOOGL,JPM,MA,META,MSFT,TSLA,V,z_score,coint_p_vals,cp_day,locked_down,position
2019-12-31,70.65934753417969,92.39199829101562,30.070859909057617,66.3808822631836,116.48696899414062,287.2884826660156,203.46328735351562,148.7892608642578,27.8886661529541,179.0248565673828,,,,False,
2020-01-02,72.27153015136719,94.90049743652344,30.429445266723633,67.83251190185547,117.89917755126953,291.90679931640625,207.9538116455078,151.54421997070312,28.68400001525879,182.09280395507812,,,,False,
2020-01-03,71.56891632080078,93.74849700927734,29.797645568847656,67.47765350341797,116.34334564208984,289.0587463378906,206.85350036621094,149.65731811523438,29.534000396728516,180.64453125,,,,False,
2020-01-06,72.13920593261719,95.14399719238281,29.75494384765625,69.27621459960938,116.25086212158203,289.8284606933594,210.74928283691406,150.04408264160156,30.1026668548584,180.25393676757812,,,,False,
2020-01-07,71.79991149902344,95.34300231933594,29.55858039855957,69.14239501953125,114.2745132446289,288.84710693359375,211.20529174804688,148.67601013183594,31.270666122436523,179.77757263183594,,,,False,
2020-01-08,72.95489501953125,94.59850311279297,29.85740852355957,69.6345443725586,115.16597747802734,293.9437255859375,213.3464813232422,151.04420471191406,32.80933380126953,182.85498046875,,,,False,
2020-01-09,74.50455474853516,95.05249786376953,29.90863037109375,70.36556243896484,115.58647918701172,297.7973937988281,216.399658203125,152.93121337890625,32.089332580566406,184.12220764160156,,,,False,
2020-01-10,74.67298889160156,94.15799713134766,29.66103172302246,70.82002258300781,114.4343032836914,299.79168701171875,216.16175842285156,152.2235870361328,31.876667022705078,184.6176300048828,,,,False,
2020-01-13,76.268310546875,94.56500244140625,29.93425941467285,71.36865234375,115.38463592529297,303.6839294433594,219.9782257080078,154.05397033691406,34.990665435791016,186.10394287109375,,,,False,
2020-01-14,75.23844146728516,93.47200012207031,30.15623664855957,70.90081787109375,116.73021697998047,299.28106689453125,217.15304565429688,152.96896362304688,35.861331939697266,186.78993225097656,,,,False,
2020-01-15,74.916015625,93.10099792480469,29.601266860961914,71.32752227783203,114.98094940185547,302.7590026855469,219.224853515625,153.95962524414062,34.56666564941406,190.36280822753906,,,,False,
2020-01-16,75.85442352294922,93.89700317382812,29.643957138061523,71.87071990966797,115.42666625976562,308.5878601074219,219.8394775390625,156.7806396484375,34.232666015625,191.45849609375,,,,False,
